id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401767256,home,2142,Colgate,Patriot,2025-08-29 23:00:00+00:00,Andy Kerr Stadium,False,ESPN+,COLG,#821019,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,Monmouth -14.5,65.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401767256,away,2405,Monmouth,CAA,2025-08-29 23:00:00+00:00,Andy Kerr Stadium,False,ESPN+,MONM,#051844,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,Monmouth -14.5,65.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,18.0
401754374,home,154,Wake Forest,ACC,2025-08-29 23:00:00+00:00,Allegacy Federal Credit Union Stadium,False,ACC Network,WAKE,#9E7E38,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,Wake Forest -18.5,51.0,assets/tv-logos/ACC Network tv channel logo/ACC_Network_Raycom_Logo.png,
401754374,away,338,Kennesaw State,Conference USA,2025-08-29 23:00:00+00:00,Allegacy Federal Credit Union Stadium,False,ACC Network,KENN,#fdbb30,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,Wake Forest -18.5,51.0,assets/tv-logos/ACC Network tv channel logo/ACC_Network_Raycom_Logo.png,
401761589,home,2429,Charlotte,American Athletic,2025-08-29 23:00:00+00:00,Bank of America Stadium,True,ESPNU,CLT,#046A38,#B9975B,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,App State -3.0,49.0,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401761589,away,2026,App State,Sun Belt,2025-08-29 23:00:00+00:00,Bank of America Stadium,True,ESPNU,APP,#ffcc00,#222222,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,App State -3.0,49.0,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401766898,home,2229,Florida International,Conference USA,2025-08-29 23:00:00+00:00,Pitbull Stadium,False,ESPN+,FIU,#001538,#c5960c,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,Florida International -26.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401766898,away,2065,Bethune-Cookman,SWAC,2025-08-29 23:00:00+00:00,Pitbull Stadium,False,ESPN+,BCU,#7b1831,#e9aa12,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,Florida International -26.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756854,home,2305,Kansas,Big 12,2025-08-29 23:30:00+00:00,Memorial Stadium,False,ESPN+,KU,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Kansas -46.5,57.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756854,away,2681,Wagner,NEC,2025-08-29 23:30:00+00:00,Memorial Stadium,False,ESPN+,WAG,#00483A,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,Kansas -46.5,57.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401752795,home,356,Illinois,Big Ten,2025-08-29 23:30:00+00:00,"Memorial Stadium (Champaign, IL)",False,Peacock,ILL,#ff5f05,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Illinois -48.5,63.5,assets/tv-logos/Peacock tv channel logo/NBCUniversal_Peacock_Logo.png,9.0
401752795,away,2710,Western Illinois,Big South-OVC,2025-08-29 23:30:00+00:00,"Memorial Stadium (Champaign, IL)",False,Peacock,WIU,#4e1e8a,#ffc90a,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,Illinois -48.5,63.5,assets/tv-logos/Peacock tv channel logo/NBCUniversal_Peacock_Logo.png,
401754375,home,38,Colorado,Big 12,2025-08-30 00:00:00+00:00,Folsom Field,False,ESPN,COLO,#CFB87C,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,Georgia Tech -3.5,50.0,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401754375,away,59,Georgia Tech,ACC,2025-08-30 00:00:00+00:00,Folsom Field,False,ESPN,GT,#003057,#b3a369,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Georgia Tech -3.5,50.0,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,18.0
401752667,home,239,Baylor,Big 12,2025-08-30 00:00:00+00:00,McLane Stadium,False,FOX,BAY,#154734,#ffb81c,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Auburn -1.0,56.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
401752667,away,2,Auburn,SEC,2025-08-30 00:00:00+00:00,McLane Stadium,False,FOX,AUB,#002b5c,#f26522,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn -1.0,56.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,22.0
401757224,home,2534,Sam Houston,Conference USA,2025-08-30 01:30:00+00:00,BBVA Compass Stadium,True,CBSSN,SHSU,#fe5000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,UNLV -9.0,60.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401757224,away,2439,UNLV,Mountain West,2025-08-30 01:30:00+00:00,BBVA Compass Stadium,True,CBSSN,UNLV,#b10202,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,UNLV -9.0,60.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401760358,home,23,San José State,Mountain West,2025-08-30 02:30:00+00:00,CEFCU Stadium,False,FS1,SJSU,#005893,#fdba31,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,San José State -14.5,51.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401760358,away,2117,Central Michigan,Mid-American,2025-08-30 02:30:00+00:00,CEFCU Stadium,False,FS1,CMU,#6a0032,#ffc82e,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,San José State -14.5,51.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401762434,home,2426,Navy,American Athletic,2025-08-30 16:00:00+00:00,Navy-Marine Corps Memorial Stadium,False,CBSSN,NAVY,#00225b,#b5a67c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,Navy -42.0,53.0,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401762434,away,2678,VMI,Southern,2025-08-30 16:00:00+00:00,Navy-Marine Corps Memorial Stadium,False,CBSSN,VMI,#E52D37,#eec52b,http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,Navy -42.0,53.0,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401762792,home,2309,Kent State,Mid-American,2025-08-30 16:00:00+00:00,Dix Stadium,False,ESPN+,KENT,#003976,#efab00,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,Kent State -5.5,50.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401762792,away,2771,Merrimack,FCS Independents,2025-08-30 16:00:00+00:00,Dix Stadium,False,ESPN+,MRMK,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,Kent State -5.5,50.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
